date,doc_id,mu,sigma,n_comps
2011-04-27,stmt-2011-04-27,46.07182100378953,1.8767349849036725,22
2011-06-22,stmt-2011-06-22,45.673322054738044,1.8688353307128458,22
2011-11-02,stmt-2011-11-02,45.686282947349156,1.8685571830891758,22
2012-01-25,stmt-2012-01-25,45.915077187195976,1.8782554124783442,22
2012-04-25,stmt-2012-04-25,46.471835518509195,1.9186732723410598,21
2012-06-20,stmt-2012-06-20,45.8971963041307,1.8766499279871853,22
2012-09-13,stmt-2012-09-13,44.55449449928765,1.9144281111049384,22
2012-12-12,stmt-2012-12-12,45.493258375103856,1.8845219215174098,22
2013-03-20,stmt-2013-03-20,45.937893322131885,1.8662561974812357,22
2013-06-19,stmt-2013-06-19,47.002549318964476,1.908760026639602,21
2013-09-18,stmt-2013-09-18,46.533496375061645,1.8698756495329767,22
2013-12-18,stmt-2013-12-18,47.562677520597106,1.8773035213020774,22
2014-03-19,stmt-2014-03-19,47.74678303983022,1.8685188084572455,22
2014-06-18,stmt-2014-06-18,48.32201999066713,1.8731544150384565,22
2014-09-17,stmt-2014-09-17,48.57549591255005,1.9165002400020161,21
2014-12-17,stmt-2014-12-17,48.98636915421601,1.8697771080143788,22
2015-03-18,stmt-2015-03-18,49.846614071225375,1.8694263957109838,22
2015-06-17,stmt-2015-06-17,47.7038246772415,1.871171142852274,22
2015-09-17,stmt-2015-09-17,49.226072398135415,1.8713145648181286,22
2015-12-16,stmt-2015-12-16,52.55219149519358,1.869332260871512,22
2016-03-16,stmt-2016-03-16,48.67225641753361,1.8731486700599576,22
2016-06-15,stmt-2016-06-15,49.00263586138658,1.8688400622390418,22
2016-09-21,stmt-2016-09-21,50.20837161775849,1.9149620773099172,21
2016-12-14,stmt-2016-12-14,51.87149197904984,1.8748965547686063,22
2017-03-15,stmt-2017-03-15,51.83080551127351,1.8706489623649432,22
2017-06-14,stmt-2017-06-14,51.81689517220488,1.8706193823109416,22
2017-09-20,stmt-2017-09-20,50.49259942725285,1.875227486975363,22
2017-12-13,stmt-2017-12-13,52.29064240736545,1.9227765334504285,21
2018-03-21,stmt-2018-03-21,52.51319969133566,1.9029769892575183,21
2018-06-13,stmt-2018-06-13,52.916327439164625,1.8741740956813617,22
2018-09-26,stmt-2018-09-26,52.31299927847387,1.8659370206897128,22
2018-12-19,stmt-2018-12-19,51.96977873928304,1.8697663513009144,22
2019-01-30,stmt-2019-01-30,48.90895351217482,1.878789342041641,22
2019-03-20,stmt-2019-03-20,49.44785451847724,1.8689921006473336,22
2019-05-01,stmt-2019-05-01,49.60391905160653,1.9109436857307314,21
2019-06-19,stmt-2019-06-19,47.57308984099973,1.9140796068430999,21
2019-07-31,stmt-2019-07-31,47.07067744758529,1.8691529036828833,22
2019-09-18,stmt-2019-09-18,47.270167895581565,1.8675550964683345,22
2019-10-30,stmt-2019-10-30,46.576161750428845,1.917626489261243,21
2019-12-11,stmt-2019-12-11,48.30542739734065,1.9184533615219364,21
2020-01-29,stmt-2020-01-29,49.402148874892646,1.8691930125897755,22
2020-03-03,stmt-2020-03-03,45.332482636417424,1.89011197937972,22
2020-03-15,stmt-2020-03-15,40.39264285584993,1.9339288546562037,22
2020-04-29,stmt-2020-04-29,39.917307595456734,1.9486994006681624,22
2020-06-10,stmt-2020-06-10,39.642031467254235,1.951691399382773,22
2020-07-29,stmt-2020-07-29,41.860939634277734,1.917699057613269,21
2020-09-16,stmt-2020-09-16,42.2006372661761,1.906124504146676,22
2020-11-05,stmt-2020-11-05,43.037713672925086,1.894947259407461,22
2020-12-16,stmt-2020-12-16,43.4222863353883,1.9010457743598272,22
2021-01-27,stmt-2021-01-27,43.22023588744927,1.8921553986013449,22
2021-03-17,stmt-2021-03-17,44.244542295547696,1.9298452999650135,21
2021-04-28,stmt-2021-04-28,44.37128394848063,1.922304094738937,21
2021-06-16,stmt-2021-06-16,44.99576164324121,1.9194007111834033,21
2021-07-28,stmt-2021-07-28,45.52918329154316,1.8770401785204849,22
2021-09-22,stmt-2021-09-22,47.73202374552062,1.8762422825042924,22
2021-11-03,stmt-2021-11-03,50.130941518975625,1.8697413408630925,22
2021-12-15,stmt-2021-12-15,51.968679335056805,1.871744437657419,22
2022-01-26,stmt-2022-01-26,53.107334207967,1.8718017518999241,22
2022-03-16,stmt-2022-03-16,55.36322907982708,1.9095800053397047,22
2022-05-04,stmt-2022-05-04,57.04220577652413,1.9251821624502288,22
2022-06-15,stmt-2022-06-15,60.008564526156,1.9390008844438837,22
2022-07-27,stmt-2022-07-27,59.81283833149377,1.929179822121081,22
2022-09-21,stmt-2022-09-21,61.01811841668658,1.982631254750441,22
2022-11-02,stmt-2022-11-02,61.06008850578783,1.9858540266736013,22
2022-12-14,stmt-2022-12-14,58.05537217348422,1.9183744930494533,22
2023-02-01,stmt-2023-02-01,55.78641888465995,1.9160674631844903,22
2023-03-22,stmt-2023-03-22,55.19581056233294,1.8883606550747034,22
2023-05-03,stmt-2023-05-03,55.523156410054455,1.9156557043625406,22
2023-06-14,stmt-2023-06-14,55.643189124706126,1.9304458008438259,22
2023-07-26,stmt-2023-07-26,55.336539266047325,1.905505897314607,22
2023-09-20,stmt-2023-09-20,55.38541464729949,1.8944532568856223,22
2023-11-01,stmt-2023-11-01,54.811508745526,1.920856515479234,21
2023-12-13,stmt-2023-12-13,54.606588398869775,1.9085971966685653,21
2024-01-31,stmt-2024-01-31,53.485583825897656,1.8763290545160358,22
2024-03-20,stmt-2024-03-20,53.29638764992757,1.8694333099303226,22
2024-05-01,stmt-2024-05-01,54.205913774596496,1.8742507571505067,22
2024-06-12,stmt-2024-06-12,53.77695901128486,1.8851249018936231,22
2024-07-31,stmt-2024-07-31,53.317578829024384,1.8769500021945311,22
2024-09-18,stmt-2024-09-18,48.91691200069693,1.8694347992255906,22
2024-11-07,stmt-2024-11-07,49.5569189503052,1.9100998502782875,21
2024-12-18,stmt-2024-12-18,49.316138473075384,1.8707792248148511,22
2025-01-29,stmt-2025-01-29,50.71290128724161,1.8705492873489424,22
2025-03-19,stmt-2025-03-19,51.48926899534254,1.8982636373595572,21
2025-05-07,stmt-2025-05-07,51.41373781669112,1.9205151039937256,21
2025-06-18,stmt-2025-06-18,51.60029689017383,1.8751840364770587,22
2025-07-30,stmt-2025-07-30,52.63337418746515,1.9183261340914748,21
2025-09-17,stmt-2025-09-17,49.11610780693237,1.9104516149234974,21
2025-10-29,stmt-2025-10-29,48.91138667030538,1.8768961070333083,22
2025-12-10,stmt-2025-12-10,48.974741709801236,1.8662514893387265,22
2026-01-28,stmt-2026-01-28,50.23932564402474,1.8705141265549337,22
2026-03-18,stmt-2026-03-18,50.678424135766505,1.8713727384079588,22
2026-04-29,stmt-2026-04-29,51.92594969105224,1.8691222829193301,22
2026-06-17,stmt-2026-06-17,52.5773202415453,1.8748813022175947,22
2026-07-29,stmt-2026-07-29,54.265878869509166,1.917748771609571,21
2026-09-16,stmt-2026-09-16,55.66833366096557,1.9145144778467078,22
