doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,56.05585336597037,1.763712878446353,25,False,2018,2011Q2,49.59082578693079,87.36842105263159,28.421052631578945
stmt-2011-06-22,2011-06-22,56.83249729478692,1.8460338071214544,25,True,7424,2011Q2,50.36746971574734,91.57894736842105,71.57894736842105
stmt-2011-11-02,2011-11-02,56.18975681119456,1.8400456490047379,25,True,8000,2011Q4,49.97914775133906,88.42105263157895,50.0
stmt-2012-01-25,2012-01-25,51.43524199972104,1.7400690218895363,25,False,1883,2012Q1,49.97914775133906,61.05263157894737,50.0
stmt-2012-04-25,2012-04-25,55.20254193034678,1.7621042672833855,24,True,4191,2012Q2,47.90764597604625,81.05263157894737,7.368421052631578
stmt-2012-06-20,2012-06-20,59.345545480932415,1.8075716655106944,25,False,2022,2012Q2,52.05064952663188,94.73684210526315,93.6842105263158
stmt-2012-09-13,2012-09-13,64.85530929097101,1.9942172820888706,25,False,1787,2012Q3,49.97914775133906,100.0,50.0
stmt-2012-12-12,2012-12-12,60.490707961154015,1.818217415855265,25,False,1781,2012Q4,49.97914775133906,95.78947368421052,50.0
stmt-2013-03-20,2013-03-20,55.264786630394546,1.7791489761224992,25,False,1740,2013Q1,49.97914775133906,82.10526315789474,50.0
stmt-2013-06-19,2013-06-19,56.665606387636444,1.8590578710227117,25,True,8000,2013Q2,49.97914775133906,90.52631578947368,50.0
stmt-2013-09-18,2013-09-18,56.58369667993675,1.8567362480438778,24,True,8000,2013Q3,49.97914775133906,89.47368421052632,50.0
stmt-2013-12-18,2013-12-18,55.27708404328719,1.7525571325975455,25,False,2019,2013Q4,49.97914775133906,83.15789473684211,50.0
stmt-2014-03-19,2014-03-19,53.20355436115661,1.7686336977002188,24,True,8000,2014Q1,49.97914775133906,69.47368421052632,50.0
stmt-2014-06-18,2014-06-18,54.12524653110329,1.7480856090807884,25,True,8000,2014Q2,49.97914775133906,76.84210526315789,50.0
stmt-2014-09-17,2014-09-17,53.30150261058128,1.7706530315538094,24,True,8000,2014Q3,49.97914775133906,72.63157894736842,50.0
stmt-2014-12-17,2014-12-17,52.025930314505764,1.7366584120671287,25,True,8000,2014Q4,49.97914775133906,63.1578947368421,50.0
stmt-2015-03-18,2015-03-18,52.09816765130675,1.7650771457345127,24,True,8000,2015Q1,49.97914775133906,64.21052631578948,50.0
stmt-2015-06-17,2015-06-17,53.2326498990646,1.7571657538718917,25,True,8000,2015Q2,49.97914775133906,70.52631578947368,50.0
stmt-2015-09-17,2015-09-17,52.62634100823854,1.7398606374432433,25,True,8000,2015Q3,49.97914775133906,67.36842105263158,50.0
stmt-2015-12-16,2015-12-16,49.265734525433786,1.7352502665850082,25,True,8000,2015Q4,49.97914775133906,50.526315789473685,50.0
stmt-2016-03-16,2016-03-16,51.30844942104861,1.7346955624449927,25,True,8000,2016Q1,49.97914775133906,60.0,50.0
stmt-2016-06-15,2016-06-15,52.56324148938672,1.741776425530146,25,False,1941,2016Q2,49.97914775133906,66.3157894736842,50.0
stmt-2016-09-21,2016-09-21,50.42132564622052,1.735884448579825,25,False,4154,2016Q3,49.97914775133906,54.736842105263165,50.0
stmt-2016-12-14,2016-12-14,46.76379331099294,1.7659685826696427,24,True,6658,2016Q4,49.97914775133906,31.57894736842105,50.0
stmt-2017-03-15,2017-03-15,46.52860770518828,1.7390695578185436,25,True,6881,2017Q1,49.97914775133906,28.421052631578945,50.0
stmt-2017-06-14,2017-06-14,46.41433811019128,1.7368557602349295,25,True,8000,2017Q2,49.97914775133906,26.31578947368421,50.0
stmt-2017-09-20,2017-09-20,47.93406495328405,1.7718281518201517,24,True,8000,2017Q3,49.97914775133906,41.05263157894737,50.0
stmt-2017-12-13,2017-12-13,46.66735719511502,1.7370086260631588,25,True,7976,2017Q4,49.97914775133906,29.47368421052631,50.0
stmt-2018-03-21,2018-03-21,45.66101854729787,1.753061634177738,24,True,5832,2018Q1,49.97914775133906,23.157894736842106,50.0
stmt-2018-06-13,2018-06-13,44.20641543363901,1.7482149015884958,25,True,8000,2018Q2,49.97914775133906,14.736842105263156,50.0
stmt-2018-09-26,2018-09-26,45.01296695132927,1.7739904318642292,24,False,2045,2018Q3,49.97914775133906,20.0,50.0
stmt-2018-12-19,2018-12-19,47.58009506459001,1.7488073870535965,24,True,8000,2018Q4,49.97914775133906,40.0,50.0
stmt-2019-01-30,2019-01-30,49.51634351900486,1.7394742333075677,25,True,8000,2019Q1,50.32754325503803,51.578947368421055,70.52631578947368
stmt-2019-03-20,2019-03-20,48.81955251160693,1.739366335572461,25,True,7424,2019Q1,49.630752247640096,47.368421052631575,29.47368421052631
