doc_id,date,mu,sigma,n_comps,filter_empty,passage_chars,quarter,mu_era_adj,percentile,percentile_era
stmt-2011-04-27,2011-04-27,48.613244883491994,1.746757895403388,25,False,2018,2011Q2,51.719833150662,46.31578947368421,85.26315789473684
stmt-2011-06-22,2011-06-22,45.284133919291335,1.7466030003381017,25,True,7424,2011Q2,48.39072218646134,21.052631578947366,15.789473684210526
stmt-2011-11-02,2011-11-02,45.36466438915802,1.7305214444611134,25,True,8000,2011Q4,50.055277668561665,23.157894736842106,51.05263157894737
stmt-2012-01-25,2012-01-25,43.440325173379264,1.7431328750604727,25,True,8000,2012Q1,50.055277668561665,14.736842105263156,51.05263157894737
stmt-2012-04-25,2012-04-25,46.42004896488032,1.7312816472894106,25,True,4191,2012Q2,53.23344708792644,30.526315789473685,94.73684210526315
stmt-2012-06-20,2012-06-20,40.06371012615077,1.7343349901232465,26,False,2022,2012Q2,46.87710824919689,3.1578947368421053,5.263157894736842
stmt-2012-09-13,2012-09-13,42.209348137873526,1.7201260727171317,26,True,8000,2012Q3,50.055277668561665,8.421052631578947,51.05263157894737
stmt-2012-12-12,2012-12-12,42.13104307170029,1.7301380742223114,26,True,8000,2012Q4,50.055277668561665,7.368421052631578,51.05263157894737
stmt-2013-03-20,2013-03-20,43.10554155114636,1.7357144634061155,26,True,8000,2013Q1,50.055277668561665,10.526315789473683,51.05263157894737
stmt-2013-06-19,2013-06-19,42.92251328883699,1.7409348224659156,26,True,8000,2013Q2,50.055277668561665,9.473684210526317,51.05263157894737
stmt-2013-09-18,2013-09-18,44.90725639412834,1.7413944664857093,25,True,8000,2013Q3,50.055277668561665,18.947368421052634,51.05263157894737
stmt-2013-12-18,2013-12-18,46.01119244975669,1.7513009833917992,24,False,2069,2013Q4,50.055277668561665,29.47368421052631,51.05263157894737
stmt-2014-03-19,2014-03-19,47.320759191585005,1.7352053914559231,25,True,8000,2014Q1,50.055277668561665,37.89473684210527,51.05263157894737
stmt-2014-06-18,2014-06-18,45.990546130046624,1.7353791192867425,25,True,8000,2014Q2,50.055277668561665,27.368421052631582,51.05263157894737
stmt-2014-09-17,2014-09-17,45.2886741768487,1.697510177955953,26,True,8000,2014Q3,50.055277668561665,22.105263157894736,51.05263157894737
stmt-2014-12-17,2014-12-17,46.55626454419641,1.69090159806236,26,True,8000,2014Q4,50.055277668561665,33.68421052631579,51.05263157894737
stmt-2015-03-18,2015-03-18,45.39354731527244,1.7000766831824972,26,True,8000,2015Q1,50.055277668561665,24.210526315789473,51.05263157894737
stmt-2015-06-17,2015-06-17,44.92701759806286,1.7288038213674732,25,True,8000,2015Q2,50.055277668561665,20.0,51.05263157894737
stmt-2015-09-17,2015-09-17,43.936384890437736,1.7526078272963652,25,True,8000,2015Q3,50.055277668561665,16.842105263157894,51.05263157894737
stmt-2015-12-16,2015-12-16,47.58029022514684,1.728055878100856,25,False,2114,2015Q4,50.055277668561665,38.94736842105263,51.05263157894737
stmt-2016-03-16,2016-03-16,47.94256764492666,1.7348713169312213,25,True,8000,2016Q1,50.055277668561665,43.15789473684211,51.05263157894737
stmt-2016-06-15,2016-06-15,52.420267811289776,1.745585592662708,25,False,1941,2016Q2,50.055277668561665,65.26315789473685,51.05263157894737
stmt-2016-09-21,2016-09-21,48.751942086222755,1.7333457969401214,25,False,4154,2016Q3,50.055277668561665,47.368421052631575,51.05263157894737
stmt-2016-12-14,2016-12-14,50.081225581918524,1.7417859519193248,25,True,6658,2016Q4,50.055277668561665,52.63157894736842,51.05263157894737
stmt-2017-03-15,2017-03-15,50.40803398615779,1.7666927799376468,24,True,6881,2017Q1,50.055277668561665,56.84210526315789,51.05263157894737
stmt-2017-06-14,2017-06-14,49.68469922724731,1.7348492309378283,25,True,8000,2017Q2,50.055277668561665,51.578947368421055,51.05263157894737
stmt-2017-09-20,2017-09-20,47.17229138560788,1.741185716155942,25,True,8000,2017Q3,50.055277668561665,36.84210526315789,51.05263157894737
stmt-2017-12-13,2017-12-13,49.516601772171384,1.737910976471174,25,True,7976,2017Q4,50.055277668561665,50.526315789473685,51.05263157894737
stmt-2018-03-21,2018-03-21,50.127345930272746,1.7255888389311296,25,True,5832,2018Q1,50.055277668561665,54.736842105263165,51.05263157894737
stmt-2018-06-13,2018-06-13,51.64128715675253,1.7457648944530197,25,True,8000,2018Q2,50.055277668561665,61.05263157894737,51.05263157894737
stmt-2018-09-26,2018-09-26,51.86833810531074,1.7448745568482316,25,False,2045,2018Q3,50.055277668561665,62.10526315789474,51.05263157894737
stmt-2018-12-19,2018-12-19,46.876370210723756,1.7344617359459964,25,True,8000,2018Q4,50.055277668561665,34.73684210526316,51.05263157894737
stmt-2019-01-30,2019-01-30,46.48863568002566,1.6996979307397146,26,True,8000,2019Q1,50.046701834151975,31.57894736842105,35.78947368421053
